,League,Date,Home,Away,Goals_H_FT,Goals_A_FT,Result_FT,Odds_H,Odds_D,Odds_A,Pontos_H,Pontos_A,Total_Goals_FT,Over05_FT,Over15_FT,Over25_FT,Under25_FT,BTTS,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_BTTS_Home,Porc_BTTS_Away,Media_Pontos_H,Media_Pontos_A,Media_Gols_Feitos_Home,Media_Gols_Sofridos_Home,Media_Gols_Feitos_Away,Media_Gols_Sofridos_Away
80,Inglaterra 1,08/10/2022,Newcastle,Brentford,5,1,H,1.83,3.8,4.2,3,0,6,1,1,1,0,1,80.0,80.0,80.0,80.0,40.0,60.0,60.0,80.0,1.8,0.6,2.2,1.0,1.2,2.2
81,Inglaterra 1,08/10/2022,Brighton,Tottenham,0,1,A,2.8,3.4,2.5,0,3,1,1,0,0,1,0,75.0,100.0,25.0,80.0,25.0,40.0,25.0,60.0,1.75,1.6,1.5,0.75,1.4,1.2
82,Inglaterra 1,09/10/2022,Crystal Palace,Leeds,2,1,H,2.05,3.5,3.6,3,0,3,1,1,1,0,1,100.0,100.0,100.0,75.0,60.0,75.0,80.0,75.0,1.4,0.25,1.4,1.4,1.25,2.5
83,Inglaterra 1,09/10/2022,West Ham,Fulham,3,1,H,1.72,3.8,4.75,3,0,4,1,1,1,0,1,100.0,80.0,100.0,80.0,20.0,80.0,40.0,80.0,1.4,0.8,1.2,1.2,1.2,1.8
84,Inglaterra 1,09/10/2022,Arsenal,Liverpool,3,2,H,2.5,3.6,2.62,3,0,5,1,1,1,0,1,100.0,75.0,100.0,75.0,100.0,75.0,100.0,75.0,3.0,0.5,2.8,1.4,1.25,1.75
85,Inglaterra 1,09/10/2022,Everton,Man United,1,2,A,3.6,3.5,2.05,0,3,3,1,1,1,0,1,80.0,100.0,40.0,60.0,20.0,60.0,40.0,40.0,1.0,1.8,0.6,0.8,1.4,2.2
86,Inglaterra 1,10/10/2022,Nott'm Forest,Aston Villa,1,1,D,3.3,3.4,2.2,1,1,2,1,1,0,1,1,100.0,80.0,80.0,80.0,40.0,40.0,60.0,60.0,0.8,0.4,1.2,1.8,0.6,1.6
87,Inglaterra 1,14/10/2022,Brentford,Brighton,2,0,H,3.1,3.4,2.3,3,0,2,1,1,0,1,0,100.0,100.0,100.0,100.0,60.0,60.0,40.0,60.0,2.0,1.4,2.4,1.2,1.6,1.6
88,Inglaterra 1,15/10/2022,Leicester,Crystal Palace,0,0,D,2.3,3.4,3.1,1,1,0,0,0,0,1,0,80.0,50.0,60.0,50.0,60.0,25.0,40.0,50.0,1.0,0.75,1.4,1.0,0.75,1.25
89,Inglaterra 1,15/10/2022,Fulham,Bournemouth,2,2,D,1.85,3.75,4.0,1,1,4,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,80.0,100.0,60.0,1.6,1.0,2.0,2.2,1.2,3.6
90,Inglaterra 1,15/10/2022,Wolves,Nott'm Forest,1,0,H,1.7,3.75,5.0,3,0,1,1,0,0,1,0,80.0,100.0,40.0,80.0,20.0,40.0,20.0,20.0,1.6,0.2,0.6,0.8,0.2,2.8
91,Inglaterra 1,15/10/2022,Tottenham,Everton,2,0,H,1.5,4.5,6.5,3,0,2,1,1,0,1,0,100.0,100.0,80.0,100.0,60.0,40.0,60.0,80.0,3.0,1.0,3.0,0.8,1.0,1.4
